Data Vision;Data Vision;Data Vision;Data Vision;Data Vision;Data Vision;Data Vision;Data Vision;Data Vision;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Policies, processes,;Roles and organizati;Roles and organizati;Roles and organizati;Roles and organizati;Roles and organizati;Roles and organizati;Roles and organizati;Use Cases;Use Cases;Use Cases;Use Cases;Use Cases;Use Cases;Use Cases;Use Cases;Use Cases;Use Cases;Governance;Governance;Governance;Governance;Governance;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Platforms and tools;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Modern architecture;Technology processes;Technology processes;Technology processes;Technology processes;Technology processes
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;3;3;3;3;3;3;1;2;3;3;3;2;2;3;3;3;1;1;1;1;1;2;2;2;3;1;2;2;2;2;2;3;3;1;2;2;1;1;2;2;3;2;2;3;2;1;2;1;1;2;2;2;3;1;1;2;2;3;1;1;1;1;2;1;3
3;3;3;1;3;3;3;3;3;1;3;3;3;3;2;3;2;2;3;1;1;1;1;1;2;2;2;3;2;2;3;1;3;2;2;2;1;1;2;1;1;2;3;2;1;3;1;3;1;3;1;3;1;3;1;2;1;2;1;2;2;3;1;1;1;2;2;2
3;1;2;2;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;1;1;1;1;1;2;1;3;3;2;1;2;2;2;2;1;3;2;1;1;3;1;1;2;2;3;1;1;3;1;2;2;1;3;2;1;3;3;1;2;3;2;1;1;1;1;3;1;1
2;3;2;3;3;3;3;1;3;1;2;2;2;2;3;2;2;2;3;1;1;1;1;1;2;1;3;2;2;2;2;1;3;1;2;3;1;2;1;2;3;1;2;2;1;3;2;2;1;2;1;2;2;1;3;1;2;2;1;3;2;1;1;1;1;1;1;1
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;3;3;3;3;3;3;1;2;3;3;3;2;2;3;3;3;1;1;1;1;1;2;2;2;3;1;2;2;2;2;2;3;3;1;2;2;1;1;2;2;3;2;2;3;2;1;2;1;1;2;2;2;3;1;1;2;2;3;1;1;1;1;2;1;3
3;3;3;1;3;3;3;3;3;1;3;3;3;3;2;3;2;2;3;1;1;1;1;1;2;2;2;3;2;2;3;1;3;2;2;2;1;1;2;1;1;2;3;2;1;3;1;3;1;3;1;3;1;3;1;2;1;2;1;2;2;3;1;1;1;2;2;2
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;3;3;3;3;3;3;1;2;3;3;3;2;2;3;3;3;1;1;1;1;1;2;2;2;3;1;2;2;2;2;2;3;3;1;2;2;1;1;2;2;3;2;2;3;2;1;2;1;1;2;2;2;3;1;1;2;2;3;1;1;1;1;2;1;3
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;3;3;3;3;3;3;1;2;3;3;3;2;2;3;3;3;1;1;1;1;1;2;2;2;3;1;2;2;2;2;2;3;3;1;2;2;1;1;2;2;3;2;2;3;2;1;2;1;1;2;2;2;3;1;1;2;2;3;1;1;1;1;2;1;3
3;3;3;1;3;3;3;3;3;1;3;3;3;3;2;3;2;2;3;1;1;1;1;1;2;2;2;3;2;2;3;1;3;2;2;2;1;1;2;1;1;2;3;2;1;3;1;3;1;3;1;3;1;3;1;2;1;2;1;2;2;3;1;1;1;2;2;2
3;1;2;2;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;1;1;1;1;1;2;1;3;3;2;1;2;2;2;2;1;3;2;1;1;3;1;1;2;2;3;1;1;3;1;2;2;1;3;2;1;3;3;1;2;3;2;1;1;1;1;3;1;1
3;3;2;3;3;3;3;3;3;3;3;3;2;2;3;3;2;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;1;3;3;3;3;3;2;2;3;3;3;2;2;2;3;3;3;2;2;2;2;2;1;1;2;3;3
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;3;3;3;3;3;3;1;2;3;3;3;2;2;3;3;3;1;1;1;1;1;2;2;2;3;1;2;2;2;2;2;3;3;1;2;2;1;1;2;2;3;2;2;3;2;1;2;1;1;2;2;2;3;1;1;2;2;3;1;1;1;1;2;1;3
3;3;2;2;3;3;3;1;3;3;3;2;2;3;3;3;2;2;3;1;1;1;1;1;1;1;3;3;2;1;3;3;2;3;1;2;3;1;2;3;1;2;3;3;1;3;3;2;2;1;1;3;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2
3;1;3;2;3;3;3;1;3;3;3;2;3;3;2;2;2;3;3;2;2;1;1;1;1;1;3;3;1;2;1;1;1;3;1;3;2;3;3;2;1;2;2;3;2;1;1;2;1;3;2;1;2;1;2;2;3;1;1;3;3;3;2;1;1;1;1;1
3;3;2;3;2;3;3;3;3;3;3;3;2;3;2;3;2;3;2;1;2;1;1;1;2;1;3;3;2;3;3;2;1;2;3;1;1;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;3;3;2;3;2;3;2;2;1;3;1;1;1;1;3;2
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;1;1;1;1;1;2;2;3;1;3;3;3;3;3;1;1;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;1;2;3;1;2;3;3;1;2;1;3;1;2;1;1;3;2;2
3;3;2;3;3;3;3;3;3;1;2;3;3;3;2;2;3;3;3;1;1;1;1;1;2;2;2;3;1;2;2;2;2;2;3;3;1;2;2;1;1;2;2;3;2;2;3;2;1;2;1;1;2;2;2;3;1;1;2;2;3;1;1;1;1;2;1;3
3;3;3;1;3;3;3;3;3;1;3;3;3;3;2;3;2;2;3;1;1;1;1;1;2;2;2;3;2;2;3;1;3;2;2;2;1;1;2;1;1;2;3;2;1;3;1;3;1;3;1;3;1;3;1;2;1;2;1;2;2;3;1;1;1;2;2;2
3;1;2;2;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;1;1;1;1;1;2;1;3;3;2;1;2;2;2;2;1;3;2;1;1;3;1;1;2;2;3;1;1;3;1;2;2;1;3;2;1;3;3;1;2;3;2;1;1;1;1;3;1;1
2;3;2;3;3;3;3;1;3;1;2;2;2;2;3;2;2;2;3;1;1;1;1;1;2;1;3;2;2;2;2;1;3;1;2;3;1;2;1;2;3;1;2;2;1;3;2;2;1;2;1;2;2;1;3;1;2;2;1;3;2;1;1;1;1;1;1;1
2;3;3;3;2;3;3;3;3;3;2;3;3;2;3;2;3;3;2;1;2;1;1;1;1;2;1;3;1;1;2;2;3;1;1;2;1;3;3;3;1;2;1;2;3;2;3;2;1;3;3;2;2;3;3;2;1;2;1;3;1;2;3;1;1;3;1;3
3;3;3;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;1;2;1;1;1;1;1;1;3;3;1;3;2;2;2;3;3;2;2;3;1;3;2;1;2;3;1;3;2;3;1;2;1;1;1;3;1;1;3;1;1;3;3;3;1;1;1;2;1
2;1;2;2;2;3;3;3;3;3;3;3;2;3;2;3;3;3;3;2;1;1;1;1;2;1;3;2;3;3;3;3;2;1;1;3;3;3;1;1;1;1;2;1;3;1;1;3;3;3;2;1;2;3;2;2;1;2;2;1;2;1;2;1;1;3;1;3
3;3;2;2;2;3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;1;1;1;1;1;1;1;2;1;2;2;1;2;3;3;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;1;1;2;3;3;2;3;2;2;3;1;1;1;1;1;2;1;1
3;1;3;1;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;3;3;2;3;3;3;3;3;3;2;2;3;3;2;3;2;3;3;1;1;1;1;1;2;1;3;3;3;2;2;2;3;2;1;3;3;3;3;3;3;3;2;1;2;3;3;2;1;3;2;3;3;3;3;2;2;2;2;3;3;2;3;1;1;2;2;1
3;1;3;1;3;3;3;1;3;1;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;1;2;1;1;1;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
2;3;3;2;3;3;3;1;3;1;2;2;3;3;3;3;3;3;2;1;1;1;1;1;2;1;3;1;3;3;1;1;1;1;1;1;1;1;1;2;1;3;2;1;2;1;2;3;3;1;1;3;1;1;1;1;1;3;1;1;2;1;1;1;1;2;1;1
3;3;3;3;3;3;3;1;3;3;3;3;3;3;2;2;2;3;2;1;1;1;1;1;1;2;3;2;1;1;1;2;2;2;1;2;2;1;2;1;1;3;3;1;3;3;3;3;2;3;1;2;3;1;1;2;1;3;2;1;1;3;2;1;1;1;1;1
3;3;3;1;3;3;3;1;3;3;3;3;3;3;3;3;2;2;3;1;2;1;1;1;1;2;2;2;2;2;1;3;1;1;3;3;1;1;1;3;1;2;3;1;2;3;2;3;2;3;3;2;1;2;1;3;2;1;2;2;3;2;1;1;1;2;1;3
2;3;3;1;3;3;3;3;3;1;3;2;3;3;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;3;3;2;2;2;2;2;2;1;1;3;2;1;2;2;3;3;3;3;3;3;1;2;1;3;2;2;3;1;1;2;2;1
2;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;1;1;1;1;1;1;2;1;1;3;1;2;1;1;1;2;1;2;2;1;1;2;2;1;2;3;2;2;1;2;2;3;2;2;1;3;3;1;3;1;2;2;3;3;1;1;1;1;1
3;3;2;2;3;3;3;3;3;1;3;3;2;2;3;2;3;3;3;1;1;1;1;1;1;2;3;1;2;3;1;1;3;2;2;3;2;1;3;2;2;2;2;3;1;3;3;3;2;1;3;2;1;2;1;2;1;1;2;2;2;1;3;1;1;2;2;3
2;1;3;2;3;3;3;1;3;1;2;2;3;3;2;2;2;3;2;1;1;1;1;1;1;1;3;2;2;1;3;1;2;3;2;1;1;3;1;3;1;3;2;1;1;1;2;1;1;3;2;2;1;1;1;1;2;1;3;1;3;3;3;1;1;1;2;1
2;3;3;2;2;3;3;1;3;1;2;3;2;3;2;2;3;2;3;1;1;1;1;1;2;1;2;2;1;2;3;3;2;3;3;3;3;2;2;1;1;2;3;2;1;3;1;2;2;3;3;2;3;2;3;3;2;2;2;1;2;1;1;1;1;1;2;1
3;1;3;1;3;3;3;1;3;1;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;1;2;1;1;1;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
2;3;3;2;3;3;3;1;3;1;2;2;3;3;3;3;3;3;2;1;1;1;1;1;2;1;3;1;3;3;1;1;1;1;1;1;1;1;1;2;1;3;2;1;2;1;2;3;3;1;1;3;1;1;1;1;1;3;1;1;2;1;1;1;1;2;1;1
3;3;3;3;3;3;3;1;3;3;3;3;3;3;2;2;2;3;2;1;1;1;1;1;1;2;3;2;1;1;1;2;2;2;1;2;2;1;2;1;1;3;3;1;3;3;3;3;2;3;1;2;3;1;1;2;1;3;2;1;1;3;2;1;1;1;1;1
3;3;3;1;3;3;3;1;3;3;3;3;3;3;3;3;2;2;3;1;2;1;1;1;1;2;2;2;2;2;1;3;1;1;3;3;1;1;1;3;1;2;3;1;2;3;2;3;2;3;3;2;1;2;1;3;2;1;2;2;3;2;1;1;1;2;1;3
2;3;3;1;3;3;3;3;3;1;3;2;3;3;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;3;3;2;2;2;2;2;2;1;1;3;2;1;2;2;3;3;3;3;3;3;1;2;1;3;2;2;3;1;1;2;2;1
2;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;1;1;1;1;1;1;2;1;1;3;1;2;1;1;1;2;1;2;2;1;1;2;2;1;2;3;2;2;1;2;2;3;2;2;1;3;3;1;3;1;2;2;3;3;1;1;1;1;1
3;1;3;1;3;3;3;1;3;1;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;1;3;1;3;3;3;1;3;1;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;1;2;1;1;1;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
3;1;3;1;3;3;3;1;3;1;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;1;3;1;3;3;3;1;3;1;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;1;3;3;3;3;3;2;2;2;3;1;2;1;1;1;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
3;1;3;1;3;3;3;1;3;2;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;1;3;3;3;3;3;2;2;2;3;1;2;1;1;1;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
2;3;3;2;3;3;3;1;3;2;2;2;3;3;3;3;3;3;2;1;1;1;1;1;2;1;3;1;3;3;1;1;1;1;1;1;1;1;1;2;1;3;2;1;2;1;2;3;3;1;1;3;1;1;1;1;1;3;1;1;2;1;1;1;1;2;1;1
3;3;3;3;3;3;3;1;3;1;3;3;3;3;2;2;2;3;2;1;1;1;1;1;1;2;3;2;1;1;1;2;2;2;1;2;2;1;2;1;1;3;3;1;3;3;3;3;2;3;1;2;3;1;1;2;1;3;2;1;1;3;2;1;1;1;1;1
3;3;3;1;3;3;3;1;3;1;3;3;3;3;3;3;2;2;3;1;2;1;1;1;1;2;2;2;2;2;1;3;1;1;3;3;1;1;1;3;1;2;3;1;2;3;2;3;2;3;3;2;1;2;1;3;2;1;2;2;3;2;1;1;1;2;1;3
2;3;3;1;3;3;3;3;3;2;3;2;3;3;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;3;3;2;2;2;2;2;2;1;1;3;2;1;2;2;3;3;3;3;3;3;1;2;1;3;2;2;3;1;1;2;2;1
2;1;2;2;3;3;3;3;3;1;3;3;3;3;3;3;3;2;3;1;1;1;1;1;1;2;1;1;3;1;2;1;1;1;2;1;2;2;1;1;2;2;1;2;3;2;2;1;2;2;3;2;2;1;3;3;1;3;1;2;2;3;3;1;1;1;1;1
3;1;3;1;3;3;3;1;3;2;2;3;3;3;3;2;2;3;2;1;2;1;1;1;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;1;3;3;3;3;3;2;2;2;3;1;2;1;1;1;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
2;3;3;2;3;3;3;1;3;2;2;2;3;3;3;3;3;3;2;1;1;1;1;1;2;1;3;1;3;3;1;1;1;1;1;1;1;1;1;2;1;3;2;1;2;1;2;3;3;1;1;3;1;1;1;1;1;3;1;1;2;1;1;1;1;2;1;1
3;3;3;3;3;3;3;1;3;1;3;3;3;3;2;2;2;3;2;1;1;3;3;3;1;2;3;2;1;1;1;2;2;2;1;2;2;1;2;1;1;3;3;1;3;3;3;3;2;3;1;2;3;1;1;2;1;3;2;1;1;3;2;1;1;1;1;1
3;3;3;1;3;3;3;1;3;1;3;3;3;3;3;3;2;2;3;1;2;3;3;3;1;2;2;2;2;2;1;3;1;1;3;3;1;1;1;3;1;2;3;1;2;3;2;3;2;3;3;2;1;2;1;3;2;1;2;2;3;2;1;1;1;2;1;3
2;3;3;1;3;3;3;3;3;2;3;2;3;3;2;2;3;3;3;1;1;3;3;3;1;1;1;1;1;1;1;2;1;1;3;3;3;2;2;2;2;2;2;1;1;3;2;1;2;2;3;3;3;3;3;3;1;2;1;3;2;2;3;1;1;2;2;1
2;1;2;2;3;3;3;3;3;1;3;3;3;3;3;3;3;2;3;1;1;3;3;3;1;2;1;1;3;1;2;1;1;1;2;1;2;2;1;1;2;2;1;2;3;2;2;1;2;2;3;2;2;1;3;3;1;3;1;2;2;3;3;1;1;1;1;1
3;3;2;2;3;3;3;3;3;2;3;3;2;2;3;2;3;3;3;1;1;3;3;3;1;2;3;1;2;3;1;1;3;2;2;3;2;1;3;2;2;2;2;3;1;3;3;3;2;1;3;2;1;2;1;2;1;1;2;2;2;1;3;1;1;2;2;3
2;1;3;2;3;3;3;1;3;2;2;2;3;3;2;2;2;3;2;1;1;3;3;3;1;1;3;2;2;1;3;1;2;3;2;1;1;3;1;3;1;3;2;1;1;1;2;1;1;3;2;2;1;1;1;1;2;1;3;1;3;3;3;1;1;1;2;1
2;3;3;2;2;3;3;1;3;2;2;3;2;3;2;2;3;2;3;1;1;3;3;3;2;1;2;2;1;2;3;3;2;3;3;3;3;2;2;1;1;2;3;2;1;3;1;2;2;3;3;2;3;2;3;3;2;2;2;1;2;1;1;1;1;1;2;1
3;3;3;1;3;3;3;1;3;2;3;3;3;3;2;3;3;3;3;2;1;3;3;3;1;1;3;1;3;3;2;1;1;2;3;2;1;3;2;3;1;1;1;1;3;3;2;3;2;3;3;2;1;3;2;3;3;1;2;3;1;2;3;1;1;3;3;1
3;1;3;1;3;3;3;1;3;2;2;3;3;3;3;2;2;3;2;1;2;3;3;3;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;1;3;3;3;3;3;2;2;2;3;1;2;3;3;3;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
2;3;3;2;3;3;3;1;3;2;2;2;3;3;3;3;3;3;2;1;1;3;3;3;2;1;3;1;3;3;1;1;1;1;1;1;1;1;1;2;1;3;2;1;2;1;2;3;3;1;1;3;1;1;1;1;1;3;1;1;2;1;1;1;1;2;1;1
3;1;3;1;3;3;3;1;3;2;2;3;3;3;3;2;2;3;2;1;2;3;3;3;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;1;3;1;3;3;3;1;3;2;2;3;3;3;3;2;2;3;2;1;2;3;3;3;1;1;2;2;2;2;1;3;3;1;1;2;1;3;2;2;2;2;3;1;3;1;1;3;1;2;1;3;3;3;3;1;1;2;3;1;1;3;1;1;1;3;1;1
3;3;2;2;2;3;3;3;3;1;3;3;3;3;3;2;2;2;3;1;2;3;3;3;1;1;1;2;2;3;1;1;3;1;1;2;3;2;3;3;1;1;2;3;3;3;1;3;2;1;2;3;2;2;2;2;2;3;1;1;1;3;3;1;1;3;2;1
